frequency,usertype,spend,eatin,clean,variety,quality,location,speed,healthy,price,friendly,hours,type,live,mealplan,gender,class,college,bclean,bvariety,bquality,blocation,bspeed,bhealthy,bprice,bfriendly,bhours,id
3 to 5 times,Heavy User,$5 to $9,3,4,2,5,4,3,2,3,3,5,Mexican,Off-Campus,No,Male,Senior,BUSN,1,0,1,1,0,0,0,0,1,581
1 to 2 times,Light user,$5 to $9,4,4,4,5,4,4,4,3,3,3,Other,Off-Campus,No,Female,Senior,OTH,1,1,1,1,1,1,0,0,0,582
1 to 2 times,Light user,Less than $5,2,5,4,4,2,4,5,4,3,3,Chicken,Commuter,No,Female,Freshman,OTH,1,1,1,0,1,1,1,0,0,583
3 to 5 times,Heavy User,$5 to $9,4,4,3,4,3,3,4,5,4,4,Sandwiches,Off-Campus,No,Female,Sophomore,BUSN,1,0,1,0,0,1,1,1,1,584
1 to 2 times,Light user,$5 to $9,4,4,4,4,4,4,3,4,4,3,Burgers,On-Campus,Yes,Female,Freshman,OTH,1,1,1,1,1,0,1,1,0,585
1 to 2 times,Light user,$10 or more,4,5,3,5,3,5,3,4,4,4,Chicken,On-Campus,Yes,Female,Sophomore,BUSN,1,0,1,0,1,0,1,1,1,586
1 to 2 times,Light user,Less than $5,7,4,3,3,4,4,1,5,2,4,Mexican,Off-Campus,No,Female,Senior,ARTSC,1,0,0,1,1,0,1,0,1,587
1 to 2 times,Light user,$5 to $9,4,4,4,4,3,3,3,4,2,3,Burgers,On-Campus,Yes,Female,Senior,OTH,1,1,1,0,0,0,1,0,0,588
1 to 2 times,Light user,$5 to $9,3,5,5,5,2,5,5,5,5,5,Sandwiches,Commuter,No,Female,Sophomore,EDUC,1,1,1,0,1,1,1,1,1,589
1 to 2 times,Light user,$5 to $9,4,3,3,4,3,3,2,3,3,3,Mexican,Off-Campus,No,Female,Senior,OTH,0,0,1,0,0,0,0,0,0,590
1 to 2 times,Light user,Less than $5,3,5,3,4,3,4,4,3,4,4,Chicken,On-Campus,Yes,Female,Sophomore,BUSN,1,0,1,0,1,1,0,1,1,591
1 to 2 times,Light user,$5 to $9,3,5,3,5,3,5,4,5,3,3,Burgers,Off-Campus,Yes,Female,Junior,BUSN,1,0,1,0,1,1,1,0,0,592
1 to 2 times,Light user,$5 to $9,3,4,3,4,4,5,3,4,3,3,Burgers,Off-Campus,No,Male,Junior,BUSN,1,0,1,1,1,0,1,0,0,593
0 times,Non-user,$5 to $9,2,2,2,4,2,3,4,5,3,3,Mexican,Off-Campus,No,Female,Senior,BUSN,0,0,1,0,0,1,1,0,0,594
1 to 2 times,Light user,$5 to $9,6,3,3,3,3,4,2,4,4,3,Mexican,On-Campus,No,Female,Junior,OTH,0,0,0,0,1,0,1,1,0,595
3 to 5 times,Heavy User,$5 to $9,2,5,2,5,4,4,1,5,3,5,Burgers,Off-Campus,No,Female,Junior,EDUC,1,0,1,1,1,0,1,0,1,596
1 to 2 times,Light user,$10 or more,4,5,4,4,2,4,4,3,4,2,Sandwiches,On-Campus,Yes,Female,Junior,ARTSC,1,1,1,0,1,1,0,1,0,597
6 to 9 times,Heavy User,$10 or more,5,5,3,4,4,3,2,3,3,3,Chicken,Commuter,No,Male,Senior,OTH,1,0,1,1,0,0,0,0,0,598
0 times,Non-user,Less than $5,5,5,4,4,3,3,3,5,3,5,Chicken,On-Campus,Yes,Female,Freshman,ARTSC,1,1,1,0,0,0,1,0,1,599
3 to 5 times,Heavy User,Less than $5,3,4,3,3,4,3,2,4,3,3,Burgers,Commuter,No,Female,Sophomore,BUSN,1,0,0,1,0,0,1,0,0,600
1 to 2 times,Light user,$5 to $9,2,4,4,5,5,5,3,5,2,4,Chicken,Off-Campus,No,Female,Junior,EDUC,1,1,1,1,1,0,1,0,1,601
1 to 2 times,Light user,$5 to $9,7,4,3,4,4,4,4,5,3,3,Mexican,On-Campus,Yes,Female,Sophomore,OTH,1,0,1,1,1,1,1,0,0,602
1 to 2 times,Light user,Less than $5,4,5,3,3,4,3,2,4,4,4,Mexican,On-Campus,Yes,Female,Freshman,ARTSC,1,0,0,1,0,0,1,1,1,603
1 to 2 times,Light user,Less than $5,7,4,1,3,3,4,4,4,3,1,Chicken,Off-Campus,No,Female,Junior,BUSN,1,0,0,0,1,1,1,0,0,604
1 to 2 times,Light user,$5 to $9,5,5,5,5,4,5,3,5,5,5,Mexican,Off-Campus,No,Female,Sophomore,EDUC,1,1,1,1,1,0,1,1,1,605
1 to 2 times,Light user,Less than $5,6,5,3,3,4,4,4,3,3,3,Other,Commuter,No,Male,Junior,ARTSC,1,0,0,1,1,1,0,0,0,606
