id,rest,taste,speed,value,variety,clean,conv,healthy,pref
36,Wendy's,3,3,4,4,2,4,2,4
36,Taco Bell,2,4,5,5,2,4,1,3
36,McDonald's,3,4,4,4,2,4,1,4
36,Jimmy John's,4,5,3,3,4,3,3,4
36,Subway,3,2,3,4,1,4,3,3
36,Mr. Spots,3,2,3,3,3,2,2,2
36,Chipotle,5,3,3,2,4,4,3,5
36,Qdoba,3,3,3,2,3,2,2,2
37,Wendy's,4,3,4,4,4,2,4,4
37,Taco Bell,5,5,5,5,4,5,2,5
37,McDonald's,2,2,5,3,2,3,3,2
37,Jimmy John's,3,2,2,3,4,5,3,1
37,Subway,5,5,4,4,4,5,5,5
37,Mr. Spots,2,2,2,2,2,2,3,2
37,Chipotle,3,4,3,3,3,2,2,4
37,Qdoba,3,2,2,2,2,2,4,1
38,Wendy's,4,3,3,2,4,3,3,4
38,Taco Bell,4,5,5,2,5,4,2,5
38,McDonald's,3,4,4,3,5,5,3,3
38,Jimmy John's,3,5,3,1,5,1,4,2
38,Subway,2,2,2,3,5,2,5,2
38,Mr. Spots,5,5,2,2,5,2,2,5
38,Chipotle,4,2,2,2,5,3,4,2
38,Qdoba,5,3,3,2,5,5,3,5
39,Wendy's,5,3,4,4,3,4,2,5
39,Taco Bell,4,4,3,3,4,5,3,4
39,McDonald's,2,5,2,4,2,4,1,1
39,Jimmy John's,3,5,3,2,4,3,4,3
39,Subway,3,3,2,4,3,4,4,2
39,Mr. Spots,4,2,1,2,3,2,2,1
39,Chipotle,5,1,4,3,4,2,2,5
39,Qdoba,4,4,4,3,4,2,4,5
40,Wendy's,4,4,4,3,3,5,2,3
40,Taco Bell,4,5,5,3,3,3,1,3
40,McDonald's,2,3,4,4,3,5,1,2
40,Jimmy John's,4,5,3,3,4,4,4,5
40,Subway,3,3,2,4,4,3,4,4
40,Mr. Spots,3,3,3,3,3,2,3,2
40,Chipotle,5,4,4,3,5,3,4,5
40,Qdoba,3,3,2,4,4,2,3,4
